,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
696,,,Woody - C, ,,,,"Horticulture Bed; Island, 2131 131a St",1001436715,Area 9,02131,0,,0708-000001131,bed on island,Parks,,121,,20121016,Island - 2131 131a St,Island,Parks,,Island - 2131 131a St,,121-22,13150,,,OPERATING,20060203125100,,,,,,
697,,,Woody - A/B, ,,,20090226,"Horticulture Beds; Cranley Drive Community Centre Grounds, 2141 Cranley Dr",1001437200,Area 9,02141,0,20040122,0708-000001110,foundation planting and along front fenceline,Parks,,124,,20121016,"Cranley Drive Community Centre Grounds, 2141 Cranley Dr",Land,Parks,,Cranley Drive Community Centre Grounds,,124-01,15890,,,OPERATING,20040602111100,,,,,,
698,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924562,,,,,,,,,,,20170328,,,,,The Glades,,15,,,,,,,,,,,
699,,,Mixed, ,,,20090226,"Horticulture Bed; Darts Hill Garden Park, 1660 168 St",1001437202,Area 11,01660,0,20000707,0708-000000936,"South of south parking lot, towards and around pond",Parks,,126,,20121016,"Darts Hill Garden Park, 1660 168 St",Park,Parks,,Darts Hill Garden Park,,126-01,16800,,,OPERATING,20020108124600,,,,,,
700,,,Mixed, ,,,20090226,"Horticulture Bed; Darts Hill Garden Park, 1660 168 St",1001437203,Area 11,01660,0,20000707,0708-000000939,within south parking lot off 170 St,Parks,,126,,20121016,"Darts Hill Garden Park, 1660 168 St",Park,Parks,,Darts Hill Garden Park,,126-02,16800,,,OPERATING,20020108125000,,,,,,
701,,,Mixed, ,,,20090226,"Horticulture Bed; Darts Hill Garden Park, 1660 168 St",1001437204,Area 11,01660,0,20000707,0708-000000941,SW of north parking lot off 170 St,Parks,,126,,20121016,"Darts Hill Garden Park, 1660 168 St",Park,Parks,,Darts Hill Garden Park,,126-03,16800,,,OPERATING,20020108125200,,,,,,
702,,,Mixed, ,,,20090226,"Horticulture Bed; Darts Hill Garden Park, 1660 168 St",1001437205,Area 11,01660,0,20000707,0708-000000943,16 Ave & 170 St,Parks,,126,,20121016,"Darts Hill Garden Park, 1660 168 St",Park,Parks,,Darts Hill Garden Park,,126-04,16800,,,OPERATING,20020108125400,,,,,,
703,,,Mixed, ,,,20090226,"Horticulture Bed; Darts Hill Garden Park, 1660 168 St",1001437206,Area 11,01660,0,20000707,0708-000000937,W of south parking lot between gravel path,Parks,,126,,20121016,"Darts Hill Garden Park, 1660 168 St",Park,Parks,,Darts Hill Garden Park,,126-05,16800,,,OPERATING,20020108124800,,,,,,
704,,,Mixed, ,,,,"Horticulture Bed; Semiahmoo Library & RCMP Grounds, 1815 152 St",1001436567,Area 10,01815,0,20030710,0708-000001069,by east entrance of library,Parks,,123,,20121016,"Semiahmoo Library & RCMP Grounds, 1815 152 St",Land,Parks,,Semiahmoo Library & RCMP Grounds,,123-05,15200,,,OPERATING,20031114081000,,,,,,
705,,,Mixed, ,,,,"Horticulture Bed; Semiahmoo Library & RCMP Grounds, 1815 152 St",1001436568,Area 10,01815,0,20030710,0708-000001070,south side of library,Parks,,123,,20121016,"Semiahmoo Library & RCMP Grounds, 1815 152 St",Land,Parks,,Semiahmoo Library & RCMP Grounds,,123-05,15200,,,OPERATING,20031114081000,,,,,,
706,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924561,,,,,,,,,,,20170328,,,,,The Glades,,14,,,,,,,,,,,
707,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924547,,,,,,,,,,,20170328,,,,,The Glades,,28,,,,,,,,,,,
708,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924544,,,,,,,,,,,20170328,,,,,The Glades,,29,,,,,,,,,,,
709,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924545,,,,,,,,,,,20170328,,,,,The Glades,,30,,,,,,,,,,,
710,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924524,,,,,,,,,,,20170328,,,,,The Glades,,34,,,,,,,,,,,
711,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924521,,,,,,,,,,,20170328,,,,,The Glades,,35,,,,,,,,,,,
712,,,Woody, ,,,,"Horticulture Bed; Island, 16086 111 Ave",1001436781,Area 2,16086,0,20030910,0708-000001105,entire island,Parks,,015,,20121016,Island - 16086 111 Ave,Island,Parks,,Island - 16086 111 Ave,,015-20,11100,,,OPERATING,20040319101500,,,,,,
713,,,Woody, ,,,,"Horticulture Bed; Island, 11383 153a St",1001436782,Area 2,11383,0,19990923,0708-000001063,on island,Parks,,004,,20121016,Island - 11383 153a St,Island,Parks,,Island - 11383 153a St,,004-01,15350,,,OPERATING,20031112150200,,,,,,
714,,,Perennial, ,,,,"Horticulture Bed; Island, 11337 159b St",1001436783,Area 2,11337,0,,0708-000000211,On island,Parks,,004,,20121016,Island - 11337 159b St,Island,Parks,,Island - 11337 159b St,,004-02,15970,,,OPERATING,,,,,,,
715,,,Mixed, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437253,Area 4,13750,0,,0708-000000582,around sign at 88 Ave and King George Blvd,Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-20,08800,,,OPERATING,,,,,,,
716,,,Woody, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437254,Area 4,13750,0,,0708-000000565,perimeter of Bear Creek Pavilion,Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-21,08800,,,OPERATING,,,,,,,
717,,,Mixed, ,,,,"Horticulture Bed; Median, 176 St - 64 Ave to 66a Ave",1001437112,Contract,06400,0,20061214,0708-000001167,on median,Parks,,066,,20160607,"Median, 176 St - 64 Ave to 66a Ave",Median,Parks,,Median - 176 St - 64 to 66a,,066-06,17600,,,OPERATING,20070524171000,,,,,,
718,,,Mixed, ,,,,"Horticulture Bed; Median, 176 St - 60 Ave to 62 Ave",1001437121,Contract,06000,0,20060901,0708-000001177,on median,Parks,,076,,20160607,"Median, 176 St - 60 Ave to 62 Ave",Median,Parks,,Median - 176 St - 60 to 62,,076-12,17600,,,OPERATING,20070525080200,,,,,,
719,,,Woody - C, ,,,,"Horticulture Beds; Median, Boundary Park Gate - 120 St to Boundary Dr West",1001437020,Area 9,12000,0,,0708-000000156,On median (maintained as island),Parks,,070,,20121016,"Median, Boundary Park Gate - 120 St to Boundary Dr West",Island,Parks,,Median - Boundary Park Gate - 120 to Boundary Dr W,,070-09,06057,,,OPERATING,,,,,,,
720,,,Pernnial, ,,,,"Horticulture Beds; Median, 72 Ave - 137 St to 138 St",1001436966,Area 5,13700,0,20020905,0708-000001036,In the median,Parks,,062,,20121016,"Median, 72 Ave - 137 St to 138 St",Median,Parks,,Median - 72 Ave - 137 to 138,,062-22,07200,,,OPERATING,20030318151100,,,,,,
721,,,Mixed, ,,,,"Horticulture Bed; Median, 72 Ave - 140 St to 141a St",1001436967,Area 5,14000,0,20051102,0708-000000208,On median,Parks,,062,,20121016,"Median, 72 Ave - 140 St to 141a St",Median,Parks,,Median - 72 Ave - 140 to 141a,,062-23,07200,,,OPERATING,20060309103600,,,,,,
722,,,Mixed, ,,,,"Horticulture Bed; Median, 72 Ave - 141a St to 142 St",1001436968,Area 5,14150,0,20051102,0708-000000202,On median,Parks,,062,,20121016,"Median, 72 Ave - 141a St to 142 St",Median,Parks,,Median - 72 Ave - 141a to 142,,062-24,07200,,,OPERATING,20060309104400,,,,,,
723,,,Mixed, ,,,,"Horticulture Bed; Median, 72 Ave - 142 St to 144 St",1001436969,Area 5,14200,0,20051102,0708-000000220,On median,Parks,,062,,20121016,"Median, 72 Ave - 142 St to 144 St",Median,Parks,,Median - 72 Ave - 142 to 144,,062-25,07200,,,OPERATING,20060309105600,,,,,,
724,,,Woody - C, ,,,20100107,"Horticulture Bed; 70C - Greenbelt, 12368 - 56 Ave",1001437336,Area 8,12368,0,,0708-000000068,SW. Section Of Site Near 56 Ave,Parks,,070,,20121016,"70C - Greenbelt, 12368 56 Ave",Park,Parks,,70C - Greenbelt,,070-27,05600,,,OPERATING,,,,,,,
725,,,Woody - C, ,,,20100107,"Horticulture Bed; Aspen Park - 71L, 13380 - 59B Ave",1001437338,Area 8,13380,0,,0708-000000593,Surrounding Parksite Sign Near 59B Ave,Parks,,071,,20121016,"Aspen Park - 71L, 13380 59B Ave",Park,Parks,,Aspen Park,,071-06,05970,,,OPERATING,,,,,,,
726,,,Mixed, ,,,20170308,"Horticulture Beds; Bakerview Park, 1845 - 154 St",1001912084,Area 10,01845,0,,1001437378,around perimeter of Community Hall,Parks,,124,,20170308,"Bakerview Park, 1845 154 St",Park,Parks,,Bakerview Park,,124-04,15400,,,OPERATING,,,,,,,
727,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924549,,,,,,,,,,,20170328,,,,,The Glades,,24,,,,,,,,,,,
728,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924552,,,,,,,,,,,20170328,,,,,The Glades,,27,,,,,,,,,,,
729,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924528,,,,,,,,,,,20170328,,,,,The Glades,,23,,,,,,,,,,,
730,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924551,,,,,,,,,,,20170328,,,,,The Glades,,20,,,,,,,,,,,
731,,,Woody, ,,,,"Horticulture Bed; Median, University Drive - Gateway to KGBlvd",1001437135,Contract,10900,0,20070831,0708-000001193,on median,Parks,,011,,20121016,"Median, University Drive - Gateway to KGBlvd",Median,Parks,,Median - University Dr - Gateway to KGBlvd,,011-14,13402,,,OPERATING,20071010082800,,,,,,
732,,,Woody, ,,,,"Horticulture Bed; Median, King George Blvd - 73a Ave to 74 Ave",1001437136,Contract,07350,0,20070613,0708-000001194,on median,Parks,,052,,20121016,"Median, King George Blvd - 73a Ave to 74 Ave",Median,Parks,,Median - KGBlvd - 73a to 74,,052-11,13601,,,OPERATING,20071010090700,,,,,,
733,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 192 St - Golden Ears Way to 98a Ave",1001437301,Contract,09800,0,20090404,0708-000001263,on median,Parks,,029,,20121016,"Median, 192 St - Golden Ears Way to 98a Ave",Median,Parks,,Median - 192 St - Golden Ears Way to 98a,,029-01,19200,,,OPERATING,20091027112700,,,,,,
734,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 192 St - 96 Ave to 96a Ave",1001437302,Contract,09600,0,20090404,0708-000001264,on median,Parks,,029,,20121016,"Median, 192 St - 96 Ave to 96a Ave",Median,Parks,,Median - 192 St - 96 to 96a,,029-02,19200,,,OPERATING,20091027114800,,,,,,
735,,,Woody - C, ,,,20100107,"Horticulture Bed; Cartwright Lookout, 13513 - 56 Ave",1001437339,Area 8,13513,0,,0708-000000592,throughout site and along blvd,Parks,,071,,20121016,"Cartwright Lookout, 13513 56 Ave",Park,Parks,,Cartwright Lookout,,071-07,05600,,,OPERATING,,,,,,,
736,,,Woody - C, ,,,,"Horticulture Bed; Island, 2009 134 St",1001436663,Area 9,02009,0,,0708-000000399,Entire Island,Parks,,121,,20121016,Island - 2009 134 St,Island,Parks,,Island - 2009 134 St,,121-15,13400,,,OPERATING,,,,,,,
737,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 192 St - 95a Ave to 96 Ave",1001437303,Contract,09550,0,20090404,0708-000001265,on median,Parks,,039,,20121016,"Median, 192 St - 95a Ave to 96 Ave",Median,Parks,,Median - 192 St - 95a to 96,,039-01,19200,,,OPERATING,20091027115300,,,,,,
738,,,Mixed,6 planters on main plaza and 5 on rooftop,,,20170202,"Planters; Operations Yard Grounds, 6651 148 St",1001904992,Area 8,06651,,20170206,1001904991,rooftop patio and ground floor plaza,Parks,,063,,20170206,"Operations Yard Grounds, 6651 148 St",Land,Parks,,Operation Yard Grounds,,063-18,14800,,,OPERATING,,,,,,,
739,,,Woody - A/B, ,,,,"Horticulture Beds; South Surrey Athletic Park, 1925 148 St",1001436577,Area 10,01925,0,,0708-000001121,in parking lot west of Arena,Parks,,123,,20171006,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-14,14800,,,OPERATING,20060201135300,,,,,,
740,,,Woody - C, ,,,,"Horticulture Bed; Island, 13194 20a Ave",1001436717,Area 9,13194,0,,0708-000001133,bed on island,Parks,,121,,20121016,Island - 13194 20a Ave,Island,Parks,,Island - 13194 20a Ave,,121-24,02050,,,OPERATING,20060203125500,,,,,,
741,,,Woody - C, ,,,,"Horticulture Bed; Island, 14930 20a Ave",1001436706,Area 9,14930,0,,0708-000000426,On island,Parks,,123,,20121016,Island - 14930 20a Ave,Island,Parks,,Island - 14930 20a Ave,,123-43,02050,,,OPERATING,,,,,,,
742,,,Woody - A/B, ,,,20130529,"Horticulture Beds; South Surrey Athletic Park, 1925 148 St",1001598031,Area 10,01925,0,20060209,1001437384,"in parking lot to east of SSRec Centre, ref#8",Parks,,123,,20171011,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-48,14800,,,OPERATING,20060419154300,,,,,,
743,,,Woody - C, ,,,,"Horticulture Bed; Island, 2279 130a St",1001436719,Area 9,02279,0,,0708-000001135,bed on island,Parks,,121,,20121016,Island - 2279 130a St,Island,Parks,,Island - 2279 130a St,,121-26,13050,,,OPERATING,20060203125900,,,,,,
744,,,Woody - C, ,,,,"Horticulture Bed; Island, 2273 131a St",1001436720,Area 9,02273,0,,0708-000001136,bed on island,Parks,,121,,20121016,Island - 2273 131a St,Island,Parks,,Island - 2273 131a St,,121-27,13150,,,OPERATING,20060203130100,,,,,,
745,,,Woody - C, ,,,,"Horticulture Bed; Island, 5772 125 St",1001437022,Area 9,05772,0,,0708-000000115,Entire island,Parks,,070,,20121016,Island - 5772 125 St,Island,Parks,,Island - 5772 125 St,,070-11,12500,,,OPERATING,,,,,,,
746,,,Woody - C, ,,,,"Horticulture Bed; Island, 5770 125a St",1001437023,Area 9,05770,0,,0708-000000113,Entire island,Parks,,070,,20121016,Island - 5770 125a St,Island,Parks,,Island - 5770 125a St,,070-12,12550,,,OPERATING,,,,,,,
747,,,Woody - C, ,,,,"Horticulture Bed; Island, 5600 125a St",1001437024,Area 9,05600,0,,0708-000000111,Entire island,Parks,,070,,20121016,Island - 5600 125a St,Island,Parks,,Island - 5600 125a St,,070-13,12550,,,OPERATING,,,,,,,
748,,,Woody - C, ,,,,"Horticulture Bed; Island, 12324 56 Ave",1001437025,Area 9,12324,0,,0708-000000343,On island,Parks,,070,,20121016,Island - 12324 56 Ave,Island,Parks,,Island - 12324 56 Ave,,070-14,05600,,,OPERATING,,,,,,,
749,,,Woody - C, ,,,,"Horticulture Bed; Island, 136 St & 60 Ave",1001437034,Area 9,13600,0,,0708-000000345,In centre section of island,Parks,,071,,20121016,Island - 136 St & 60 Ave,Island,Parks,,Island - 136 St & 60 Ave,,071-03,06000,,,OPERATING,,,,,,,
750,,,Woody - C, ,,,,"Horticulture Bed; Island, 14507 58a Ave",1001437037,Area 9,14507,0,20041202,0708-000000653,on island,Parks,,073,,20121016,Island - 14507 58a Ave,Island,Parks,,Island - 14507 58a Ave,,073-02,05850,,,OPERATING,20051028150800,,,,,,
751,,,Woody - C, ,,,,"Horticulture Bed; Island, 5642 Kilmore Cres E",1001437038,Area 9,05642,0,,0708-000000347,Entire Island,Parks,,074,,20121016,Island - 5642 Kilmore Cres E,Island,Parks,,Island - 5642 Kilmore Cres E,,074-03,15538,,,OPERATING,,,,,,,
752,,,Woody - C, ,,,,"Horticulture Bed; Island, 5792 167 St",1001437044,Area 9,05792,0,20030911,0708-000000997,Entire Island,Parks,,075,,20121016,Island - 5792 167 St,Island,Parks,,Island - 5792 167 St,,075-01,16700,,,OPERATING,20020802144600,,,,,,
753,,,Perennial, ,,,,"Horticulture Bed; Median, 152 St - 93 Ave to 94 Ave",1001436929,Contract,09300,0,20011128,0708-000000484,On median,Parks,,034,,20121016,"Median, 152 St - 93 Ave to 94 Ave",Median,Parks,,Median - 152 St - 93 to 94,,034-05,15200,,,OPERATING,,,,,,,
754,,,Mixed, ,,,,"Horticulture Bed; Median, 152 St - 94 Ave to 95 Ave",1001436930,Contract,09400,0,20011128,0708-000000958,On median,Parks,,034,,20121016,"Median, 152 St - 94 Ave to 95 Ave",Median,Parks,,Median - 152 St - 94 to 95,,034-06,15200,,,OPERATING,20020128094000,,,,,,
755,,,Mixed, ,,,,"Horticulture Bed; Median, 152 St - 95 Ave to 96 Ave",1001436931,Contract,09500,0,20011128,0708-000000957,On median,Parks,,034,,20121016,"Median, 152 St - 95 Ave to 96 Ave",Median,Parks,,Median - 152 St - 95 to 96,,034-07,15200,,,OPERATING,20020128093800,,,,,,
756,,,Woody, ,,,,"Horticulture Bed; Median, Fraser Hwy - 152 St to Fleetwood Way",1001436932,Contract,15200,0,20030101,0708-000000683,On median,Parks,,034,,20121016,"Median, Fraser Hwy - 152 St to Fleetwood Way",Median,Parks,,Median - Fraser Hwy - 152 to Fleetwood Way,,034-09,00101,,,OPERATING,20060622151200,,,,,,
757,,,Mixed, ,,,,"Horticulture Bed; Median, Fraser Hwy - Fleetwood Way to 154 St",1001436933,Contract,15275,0,20030612,0708-000001057,On median,Parks,,034,,20121016,"Median, Fraser Hwy - Fleetwood Way to 154 St",Median,Parks,,Median - Fraser Hwy - Fleetwood Way to 154,,034-10,00101,,,OPERATING,20031112145200,,,,,,
758,,,Mixed, ,,,,"Horticulture Bed; Median, Fraser Hwy - 154 St to 88 Ave",1001436934,Contract,15400,0,20030612,0708-000001058,On median,Parks,,034,,20121016,"Median, Fraser Hwy - 154 St to 88 Ave",Median,Parks,,Median - Fraser Hwy - 154 to 88,,034-11,00101,,,OPERATING,20031112145500,,,,,,
759,,,Mixed, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437255,Area 4,13750,0,,0708-000000563,along fenceline at NE side of gardens,Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-22,08800,,,OPERATING,,,,,,,
760,,,Mixed, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437256,Area 4,13750,0,,0708-000000560,"in gardens, just north of east entrance",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-23,08800,,,OPERATING,,,,,,,
761,,,Mixed, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437257,Area 4,13750,0,,0708-000000556,"in gardens, just south of east entrance (contains wedding chapel)",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-24,08800,,,OPERATING,,,,,,,
762,,,Mixed, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437258,Area 4,13750,0,,0708-000000543,"in gardens, west of east entrance",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-25,08800,,,OPERATING,,,,,,,
763,,,Mixed, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437259,Area 4,13750,0,,0708-000000522,"in gardens, along north edge of site",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-26,08800,,,OPERATING,,,,,,,
764,,,Mixed, ,,,20090310,"Magnolia, Azelea Bed; Bear Creek Park, 13750 88 Ave",1001437260,Area 4,13750,0,,0708-000000894,"in gardens, north area of site",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-27,08800,,,OPERATING,,,,,,,
765,,,Mixed, ,,,20090310,"Horticulture Beds; Bear Creek Park, 13750 88 Ave",1001437261,Area 4,13750,0,,0708-000000890,"in gardens, centre area (contains arbour)",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-28,08800,,,OPERATING,,,,,,,
766,,,Woody, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437262,Area 4,13750,0,,0708-000000882,"in gardens, centre area",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-29,08800,,,OPERATING,,,,,,,
767,,,Mixed, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437263,Area 4,13750,0,,0708-000000873,"in gardens, raised planter just east of west entrance",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-30,08800,,,OPERATING,,,,,,,
768,,,Woody, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437264,Area 4,13750,0,,0708-000000861,"in gardens, along western edge of site",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-31,08800,,,OPERATING,,,,,,,
769,,,Woody, ,,,20090310,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001437265,Area 4,13750,0,,0708-000000837,"in gardens, southwest edge of site",Parks,,042,,20121016,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-32,08800,,,OPERATING,,,,,,,
770,,,,,,,20150320,"Horticulture Bed; Island, 16000 82 Ave",1001879220,Area 2,16000,,,,On island,Parks,,045,,,Island - 16000 82 Ave,Island,Parks,,Island - 16000 82 Ave,,045-23,08200,,,OPERATING,,,,,,,
771,,,,,,,20150401,"Horticulture Bed; Island, 12249 - 63a Ave ",1001879228,Area 9,12249,,,,Entire island,Parks,,070,,,Island - 12249 63a Ave,Island,Parks,,island - 12249 63a Ave,,070-32,06350,,,OPERATING,,,,,,,
772,,,,,,,20150403,"Horticulture Bed; Island, 1576 161 St",1001879221,Area 9,01576,,,,bed on island,Parks,,135,,,Island - 1578 161 St,Island,Parks,,Island - 1576 161 St,,135-09,16100,,,OPERATING,,,,,,,
773,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 140 St - 20a Ave to 21a Ave - W side",1001436666,Area 10,02051,0,,0708-000000285,Along blvd,Parks,,122,,20121016,"Blvd, 140 St - 20a Ave to 21a Ave - W side",Boulevard,Parks,,Blvd - 140 St - W side - 20a to 21a,,122-05,14000,,,OPERATING,,,,,,,
774,,,Mixed, ,,,,"Horticulture Bed; Median, 24 Ave - Croydon Dr to 160 St",1001437128,Contract,15870,0,20070201,0708-000001180,on median,Parks,,114,,20160607,"Median, 24 Ave - Croydon Dr to 160 St",Median,Parks,,Median - 24 Ave - Croydon Dr to 160,,114-09,02400,,,OPERATING,20070525082600,,,,,,
775,,,Mixed, ,,,,"Horticulture Bed; Median, 160 St - 24 Ave to 26 Ave",1001437131,Contract,02400,0,20070201,0708-000001189,on median,Parks,,114,,20160607,"Median, 160 St - 24 Ave to 26 Ave",Median,Parks,,Median - 160 St - 24 to 26,,114-10,16000,,,OPERATING,20070918133700,,,,,,
776,,,,,,,20160912,"Horticulture Bed; Darts Hill Garden Park, 1660 168 St",1001891792,Area 11,01660,,20160912,,north of washroom building,Parks,,126,,20160912,"Darts Hill Garden Park, 1660 168 St",Park,Parks,,Darts Hill Garden Park,,126-08,16800,,,OPERATING,,,,,,,
777,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924563,,,,,,,,,,,20170328,,,,,The Glades,,18,,,,,,,,,,,
778,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 192 St - 95 Ave to 95a Ave",1001437304,Contract,09500,0,20090404,0708-000001266,on median,Parks,,039,,20121016,"Median, 192 St - 95 Ave to 95a Ave",Median,Parks,,Median - 192 St - 95  to 95a,,039-02,19200,,,OPERATING,20091027115700,,,,,,
779,,,Mixed, ,,,20091027,"Horticulture Bed; Median, 192 St - 94 Ave to 94a Ave",1001437305,Contract,09400,0,20090404,0708-000001267,on median,Parks,,039,,20121016,"Median, 192 St - 94 Ave to 94a Ave",Median,Parks,,Median - 192 St - 94 to 94a,,039-03,19200,,,OPERATING,20091027123800,,,,,,
780,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924564,,,,,,,,,,,20170328,,,,,The Glades,,17,,,,,,,,,,,
